eventId,eventTitle,choiceId,choiceLabel,timesEncounteredTotal,timesChosen,selectionShare,avgPollDelta,agentsChoosingIt,dominant
party_lfi_signature,La Sixième République doit prendre forme,lfi_signature_constituent,"Détailler lélection de la constituante, son mandat de dix-huit mois et le référendum final",10,8,0.8,0.28,aleatoire|risque|opportuniste_electoral|parti_dabord|mediatique|contrarien,false
party_lr_electorate,Les retraités interrogent le financement,lr_electorate_dependency_insurance,Créer une assurance dépendance publique financée par une contribution progressive sur les successions élevées,10,8,0.8,0.421,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral|mediatique,false
internal_local_sections,Les sections refusent le kit national,local_sections_authorize,Autoriser le tract breton après chiffrage et intégrer sa proposition comme expérimentation régionale,128,101,0.789,0.071,prudent|risque|ideologiquement_coherent|opportuniste_electoral|parti_dabord|mediatique|aleatoire,false
program_labor_immigration,"L’immigration de travail, un choix économique assumé ou non",labor_immigration_european_priority,Réserver les embauches en tension aux résidents européens avant toute ouverture,45,35,0.778,0.258,prudent|risque|opportuniste_electoral|parti_dabord|mediatique|contrarien|ideologiquement_coherent|aleatoire,false
campaign_poster_shortage,Les affiches manquent dans six villes,posters_local_printers,Répartir la commande entre trois imprimeurs locaux et publier les coûts,39,30,0.769,-0.413,ideologiquement_coherent|prudent|risque|parti_dabord|aleatoire,false
internal_headquarters_move,Le siège coûte trop cher,headquarters_move,Déménager à Saint-Denis et affecter léconomie réalisée aux déplacements régionaux,98,75,0.765,0.356,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral|mediatique,false
government_prime_minister,Le choix de Matignon,prime_minister_independent,Choisir une haute fonctionnaire fictive indépendante et lui demander une équipe resserrée,83,63,0.759,-0.061,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral,false
party_reconquete_signature,Le référendum migratoire doit être cadré,reconquete_signature_constitutional_bill,Déposer d’abord un projet constitutionnel détaillé puis soumettre son texte complet au référendum,19,14,0.737,0.491,aleatoire|risque|ideologiquement_coherent|opportuniste_electoral|parti_dabord|mediatique,false
party_renaissance_runoff,Le bloc républicain demande des preuves,renaissance_runoff_democratic_contract,"Signer un contrat sur le Parlement, les libertés publiques et l’Europe avec les soutiens du second tour",15,11,0.733,0.155,prudent|risque|ideologiquement_coherent|opportuniste_electoral|parti_dabord,false
party_lr_runoff,La droite qualifiée cherche ses reports,lr_runoff_government_right,Publier un contrat de majorité avec Horizons et inviter le RN à soutenir sans entrer au gouvernement,26,19,0.731,-0.067,aleatoire|risque|opportuniste_electoral|parti_dabord|mediatique|contrarien,false
campaign_citizens_convention,La convention citoyenne réclame une réponse,convention_commit_three,Accepter trois propositions chiffrées et expliquer le refus des neuf autres,22,16,0.727,-1.086,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral|mediatique,false
campaign_peripheral_town,La périphérie demande un calendrier,periphery_fuel_rebate,Annoncer une remise carburant limitée aux travailleurs sans transport collectif,22,16,0.727,-0.433,risque|ideologiquement_coherent|opportuniste_electoral|parti_dabord|mediatique|aleatoire,false
party_renaissance_program_dilemma,La réforme des retraites revient,renaissance_program_long_careers,Maintenir le cadre et garantir un départ anticipé automatique après quarante-trois années cotisées,11,8,0.727,0.887,aleatoire|risque|ideologiquement_coherent|opportuniste_electoral|parti_dabord|mediatique,false
party_renaissance_crisis_followup,Les élus du bilan demandent réparation,renaissance_crisis_confidence_vote,Demander un vote de confiance sur votre autonomie et annoncer le départ des opposants,11,8,0.727,-1.281,prudent|risque|opportuniste_electoral|mediatique|contrarien,false
internal_youth_wing,Les jeunes veulent leur propre campagne,youth_wing_budget,Accorder le budget demandé avec trois engagements communs et un droit de réponse du candidat,18,13,0.722,0.01,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral|parti_dabord,false
campaign_non_aggression_overture,Une proposition de pacte de non-agression,non_aggression_refuse,Refuser et maintenir une ligne critique y compris pendant le meeting commun,57,41,0.719,0.671,prudent|mediatique|risque|ideologiquement_coherent|parti_dabord|aleatoire,false
party_horizons_fronde,Théo Lagrive réclame un accord central,horizons_fronde_negotiate_deadline,Mandater Théo Lagrive pour négocier trois garanties avant une date de retrait fixée,28,20,0.714,1.14,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral|parti_dabord,false
scandal_consultant_contract,Le contrat du conseiller est publié,consultant_contract_waive,Annuler la prime d’un commun accord et publier la liste complète des livrables reçus,38,27,0.711,0.237,aleatoire|prudent|ideologiquement_coherent|risque,false
world_public_service_outage,La plateforme publique tombe en panne,outage_resilience_audit,Proposer un audit public de résilience et un guichet physique garanti pour chaque démarche essentielle,31,22,0.71,0.464,prudent|ideologiquement_coherent|risque|contrarien|aleatoire,false
party_rn_program_dilemma,La préférence nationale rencontre le droit,rn_program_constitutional_referendum,Maintenir la préférence nationale et annoncer un référendum constitutionnel dès le début du mandat,17,12,0.706,-0.455,aleatoire|risque|opportuniste_electoral|parti_dabord|mediatique|contrarien,false
party_ps_electorate,Les agents publics attendent des garanties,ps_electorate_wage_conference,Convoquer dès l’été une conférence salariale avec une enveloppe pluriannuelle annoncée maintenant,10,7,0.7,0.107,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral|contrarien,false
campaign_union_meeting,Le face-à-face avec les syndicats,union_branch_bargaining,Renforcer les minima de branche et sanctionner les grilles sous le salaire minimum,13,9,0.692,-0.092,prudent|contrarien|risque|opportuniste_electoral|aleatoire,false
media_front_page,La une vous prête un tournant,front_page_balance,"Publier ensemble vos mesures pour l’investissement, les salaires et les droits des salariés",176,121,0.688,0.658,aleatoire|prudent|risque|opportuniste_electoral|parti_dabord|mediatique|ideologiquement_coherent,false
party_reconquete_local_asset,Les comités numériques cherchent du terrain,reconquete_local_mobile_studios,Envoyer trois studios mobiles produire des émissions avec les militants dans les régions,16,11,0.688,-0.095,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral|mediatique,false
party_rn_signature,La baisse de TVA doit être ciblée,rn_signature_food_energy,Limiter la baisse à l’énergie domestique et à vingt produits alimentaires avec contrôle des marges,19,13,0.684,1.318,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral|mediatique,false
party_ps_program_dilemma,Le bilan gouvernemental divise la convention,ps_program_future_only,Refuser le procès du passé et consacrer la convention uniquement aux mesures du prochain mandat,25,17,0.68,0.069,aleatoire|prudent|ideologiquement_coherent|opportuniste_electoral|parti_dabord|mediatique,false
media_long_podcast,Deux heures sans élément de langage,podcast_full_access,Accepter les deux heures et répondre sans faire valider les questions à l’avance,25,17,0.68,-0.415,ideologiquement_coherent|opportuniste_electoral|mediatique|risque|aleatoire,false
custom_first_accounts,Le premier budget de campagne ne ferme pas,custom_accounts_member_loan,"Lancer un emprunt militant plafonné et publier chaque semaine son montant, son coût et ses remboursements prévus",31,21,0.677,-0.171,ideologiquement_coherent|prudent|aleatoire,false
government_first_address,La première adresse de lÉlysée,first_address_three,"Annoncer trois textes, leur calendrier parlementaire et les consultations qui les précéderont",58,39,0.672,0.057,prudent|risque|ideologiquement_coherent|parti_dabord|aleatoire,false
party_renaissance_signature,Le fonds industriel européen se précise,renaissance_signature_european_fund,Conditionner les aides européennes à la production en Europe et à un accord salarial d’entreprise,15,10,0.667,1.711,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral|parti_dabord,false
party_horizons_program_dilemma,La règle de dépense rencontre les communes,horizons_program_green_investment,Exclure de la règle les investissements locaux évalués par la Cour des comptes,12,8,0.667,1.405,prudent|risque|ideologiquement_coherent|opportuniste_electoral|parti_dabord,false
party_lr_fronde,Diane Mérande veut négocier à droite,lr_fronde_policy_meeting,Autoriser une réunion programmatique publique sans discussion sur les candidatures,24,16,0.667,-0.131,aleatoire|prudent|risque|ideologiquement_coherent|parti_dabord|mediatique,false
party_reconquete_program_dilemma,La souveraineté économique cherche ses instruments,reconquete_program_national_preference,Réserver les marchés stratégiques aux entreprises produisant principalement en France,12,8,0.667,0.232,risque|opportuniste_electoral|parti_dabord|mediatique,false
party_nouvelle_energie_electorate,Les électeurs ignorent encore le mouvement,nouvelle_energie_electorate_tax_simulator,Publier un simulateur local montrant les effets de la réforme fiscale sur cinq ménages types,9,6,0.667,-0.12,prudent|risque|ideologiquement_coherent,false
scandal_plagiarized_report,Le rapport reprend huit paragraphes,plagiarized_report_correct,"Retirer la note, citer chaque source et republier une version distinguant données et propositions",83,54,0.651,0.381,prudent|ideologiquement_coherent|aleatoire|risque|parti_dabord,false
custom_federal_charter,Deux fédérations publient des programmes opposés,custom_federal_common_floor,Réunir les deux fédérations et faire voter un socle national laissant seulement le calendrier au niveau local,17,11,0.647,-0.124,prudent|aleatoire|ideologiquement_coherent,false
party_renaissance_electorate,Les classes moyennes demandent un gain net,renaissance_electorate_work_credit,Créer un crédit d’impôt mensuel pour les salariés modestes financé par la suppression de niches ciblées,14,9,0.643,-1.439,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral|mediatique,false
media_past_words,Une promesse revient au montage,past_words_attack_edit,Dénoncer un montage trompeur et demander la diffusion intégrale des deux entretiens,39,25,0.641,-0.106,aleatoire|prudent|opportuniste_electoral|mediatique|contrarien,false
media_silence_day,Vingt-quatre heures sans caméra,silence_cancel_pause,Annuler la pause et accepter la première invitation au journal de vingt heures,119,76,0.639,-0.06,aleatoire|risque|opportuniste_electoral|parti_dabord|mediatique|contrarien,false
program_family_reunification,Le regroupement familial en question,family_reunification_faster_processing,Maintenir les délais actuels et accélérer l’instruction des dossiers,33,21,0.636,0.388,aleatoire|prudent|risque|ideologiquement_coherent|contrarien,false
party_rn_crisis_followup,Le courant Ferran teste la discipline,rn_crisis_program_council,Créer un conseil programmatique où Louis Ferran défend ses amendements avant chaque convention,11,7,0.636,0.137,aleatoire|prudent|ideologiquement_coherent|opportuniste_electoral|parti_dabord,false
custom_members_growth,Les nouveaux adhérents réclament un pouvoir réel,custom_members_budget_council,Tirer au sort un conseil d’adhérents chargé d’amender dix pour cent du budget et du programme,11,7,0.636,0.254,ideologiquement_coherent|risque|aleatoire,false
custom_neighbor_offers,Trois partis testent votre autonomie,custom_neighbors_refuse,Refuser les trois rendez-vous jusqu’à la publication complète de votre programme,57,36,0.632,0.304,prudent|aleatoire|ideologiquement_coherent,false
campaign_calendar_conflict,Deux invitations au même horaire,calendar_choose_mayors,Maintenir la rencontre des maires et envoyer votre porte-parole sur France 2,67,42,0.627,-0.126,aleatoire|prudent|ideologiquement_coherent|opportuniste_electoral|parti_dabord,false
party_lfi_local_asset,Saint-Denis ouvre ses réseaux associatifs,lfi_local_commitments,Tenir six ateliers et signer un tableau dengagements avec les associations participantes,16,10,0.625,0.263,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral,false
party_lfi_crisis_followup,La fronde sociale exige un vote,lfi_crisis_exclude,Refuser le vote et exclure Nassim Courbet de toutes les instances de campagne,8,5,0.625,-0.678,risque|mediatique|contrarien,false
party_ecologistes_alliance,Le PS offre des circonscriptions urbaines,ecologistes_alliance_autonomy,Investir des candidatures autonomes et proposer seulement des désistements après le premier tour,24,15,0.625,0.295,aleatoire|prudent|ideologiquement_coherent|opportuniste_electoral|parti_dabord|mediatique,false
party_rn_runoff,Le RN doit élargir sans démobiliser,rn_runoff_government_guarantees,Publier une équipe fictive complète et garantir le maintien de la France dans l’Union européenne,32,20,0.625,-0.023,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral,false
party_ecologistes_fronde,Maud Lestang rouvre le débat nucléaire,ecologistes_fronde_exit_calendar,Publier avec Maya Lestang un calendrier de fermeture conditionné aux capacités renouvelables installées,21,13,0.619,-0.672,aleatoire|risque|opportuniste_electoral|parti_dabord|mediatique|contrarien,false
custom_500_signatures,La course aux cinq cents présentations,custom_signatures_cross_party,Demander aux groupes parlementaires une charte commune garantissant les présentations sans soutien politique,31,19,0.613,-0.094,ideologiquement_coherent|risque|aleatoire,false
party_horizons_signature,La décentralisation doit devenir concrète,horizons_signature_block_grant,Transférer aux intercommunalités une dotation pluriannuelle pour le logement et les mobilités,18,11,0.611,1.052,aleatoire|prudent|ideologiquement_coherent|opportuniste_electoral|parti_dabord,false
party_lr_crisis_followup,Les fédérations exigent un vote de ligne,lr_crisis_local_freedom,Autoriser les accords locaux mais interdire tout logo national partagé,18,11,0.611,-0.015,aleatoire|prudent|opportuniste_electoral|mediatique|contrarien,false
alliance_union_support,La CFDT veut des garanties écrites,union_support_consultation,Promettre une consultation sans conditionner la réforme à l’issue de la négociation,23,14,0.609,0.166,ideologiquement_coherent|opportuniste_electoral|mediatique|aleatoire|prudent,false
party_nouvelle_energie_fronde,Raphaël Ternois pousse à la fusion,nouvelle_energie_fronde_confirm_candidate,Confirmer publiquement Nora Vaillant et retirer Raphaël Ternois des discussions extérieures,23,14,0.609,0.099,aleatoire|risque|ideologiquement_coherent|opportuniste_electoral|mediatique,false
custom_runoff_mandate,Votre jeune parti doit définir son mandat de second tour,custom_runoff_coalition_team,Annoncer une équipe de coalition comprenant des responsables de deux partis éliminés et trois indépendants,58,35,0.603,-0.289,risque|prudent|aleatoire,false
party_lfi_runoff,LFI doit élargir sans se renier,lfi_runoff_full_program,Refuser toute modification et demander un ralliement sur lintégralité du programme,25,15,0.6,-0.154,aleatoire|prudent|ideologiquement_coherent|parti_dabord,false
internal_program_committee,Le comité bloque le chapitre sécurité,program_committee_members_vote,Soumettre les deux versions au vote des adhérents avec une note juridique commune,60,36,0.6,0.953,risque|parti_dabord|prudent|contrarien|ideologiquement_coherent|aleatoire,false
rare_printer_slogan,Une apostrophe change le slogan,printer_slogan_limited_edition,Vendre mille exemplaires signés pour financer la réimpression et détruire le reste,10,6,0.6,-0.497,mediatique|aleatoire|ideologiquement_coherent,false
party_ecologistes_program_dilemma,La taxe carbone divise les alliés,ecologistes_program_dividend,Redistribuer chaque trimestre la recette carbone à parts égales entre tous les adultes,10,6,0.6,0.595,aleatoire|risque|ideologiquement_coherent|opportuniste_electoral|mediatique,false
party_ecologistes_electorate,Les locataires redoutent les interdictions,ecologistes_electorate_rent_protection,Interdire les congés liés aux travaux et plafonner les loyers cinq ans après une aide publique,15,9,0.6,1.898,prudent|risque|ideologiquement_coherent|opportuniste_electoral|mediatique,false
party_horizons_runoff,Le centre droit négocie son élargissement,horizons_runoff_coalition_council,Créer un conseil de coalition public avec un représentant de chaque soutien,25,15,0.6,1.347,aleatoire|risque|opportuniste_electoral|parti_dabord|contrarien,false
program_secularism,La laïcité à l’épreuve du quotidien,secularism_current_framework,En rester au cadre actuel et former les agents publics à son application,97,58,0.598,-0.445,prudent|opportuniste_electoral|parti_dabord|risque|ideologiquement_coherent|aleatoire,false
party_reconquete_crisis_followup,Les comités de Saint-Cyr se coordonnent,reconquete_crisis_independent_network,Autoriser le courant à conserver une lettre interne mais interdire toute prise de parole publique séparée,17,10,0.588,0.93,aleatoire|prudent|ideologiquement_coherent|opportuniste_electoral|mediatique,false
eliminated_future_campaign,Le score ouvre une autre campagne,future_campaign_audit,Lancer un bilan indépendant des choix de campagne avant toute négociation de fusion,63,37,0.587,0.205,aleatoire|prudent|risque|ideologiquement_coherent|opportuniste_electoral,false
party_ps_local_asset,Les maires socialistes ouvrent leurs réseaux,ps_local_public_services_tour,Confier aux maires une tournée des services publics dans huit villes moyennes,12,7,0.583,-0.324,risque|opportuniste_electoral|parti_dabord|mediatique|contrarien,false
campaign_farmers_roundtable,La table ronde agricole se tend,farmers_floor_price,Proposer un prix plancher contrôlé dans les contrats avec la grande distribution,69,40,0.58,0.512,aleatoire|opportuniste_electoral|parti_dabord|mediatique|contrarien,false
world_rival_leadership_tension,Tensions internes chez Reconquête,rival_leadership_tension_amplify,Publier une déclaration soulignant l’instabilité du mouvement adverse,64,37,0.578,-0.332,mediatique|parti_dabord|contrarien|risque|opportuniste_electoral|aleatoire,false
party_lfi_alliance,Les Écologistes proposent un pacte urbain,lfi_alliance_urban,Signer le pacte métropolitain et créer des équipes communes dans les six villes,14,8,0.571,0.736,aleatoire|risque|contrarien,false
campaign_defend_unfairly_attacked_rival,Une accusation jugée infondée vise un adversaire,defend_rival_publicly,Demander publiquement que la rumeur cesse tant qu’aucune preuve n’existe,42,24,0.571,0.392,risque|ideologiquement_coherent|aleatoire|prudent,false
program_border_control,Contrôles aux frontières : quels moyens,border_control_systematic_checks,Imposer des contrôles systématiques aux frontières intérieures de l’espace Schengen,84,48,0.571,0.349,risque|mediatique|contrarien|prudent|ideologiquement_coherent|aleatoire,false
party_renaissance_fronde,Salomé Varenne défend le bilan,renaissance_fronde_shared_speech,Écrire avec Salomé Varenne un discours séparant résultats économiques et erreurs de méthode,21,12,0.571,0.967,aleatoire|prudent|risque|ideologiquement_coherent|parti_dabord,false
party_horizons_electorate,Les retraités modérés parlent des soins,horizons_electorate_doctor_contracts,Proposer aux jeunes médecins un contrat public de cinq ans dans les zones déficitaires,14,8,0.571,1.213,prudent|risque|opportuniste_electoral|parti_dabord|mediatique,false
party_nouvelle_energie_signature,Le permis d’entreprendre doit être défini,nouvelle_energie_signature_silence_consent,Considérer toute absence de réponse sous trente jours comme une autorisation provisoire,14,8,0.571,0.015,risque|opportuniste_electoral|parti_dabord|mediatique|contrarien,false
program_pensions,La ligne de départ des retraites,pensions_age_64,Maintenir l’âge légal à soixante-quatre ans avec des départs anticipés par durée de cotisation,129,73,0.566,0.342,aleatoire|prudent|risque|opportuniste_electoral|contrarien|ideologiquement_coherent,false
party_ps_alliance,Les Écologistes proposent un contrat municipal,ps_alliance_decline,Refuser l’accord local et investir immédiatement des candidats socialistes dans les douze métropoles,23,13,0.565,0.969,aleatoire|risque|parti_dabord|mediatique|contrarien,false
party_lr_signature,La sécurité du quotidien exige des moyens,lr_signature_local_contracts,"Signer des contrats locaux liant renforts policiers, horaires judiciaires et objectifs publiés",16,9,0.563,-0.128,aleatoire|prudent|risque|ideologiquement_coherent|parti_dabord,false
world_rival_leadership_split,La dissidence prend forme chez Reconquête,rival_leadership_split_welcome,Se dire ouvert à dialoguer avec la future liste dissidente,27,15,0.556,-0.431,contrarien|risque|aleatoire,false
party_renaissance_identity,Renaissance choisit continuité ou rupture,renaissance_identity_new_cycle,Retirer les ministres sortants de l’affiche et lancer une convention avec des élus locaux,9,5,0.556,-0.26,prudent|ideologiquement_coherent|opportuniste_electoral,false
party_reconquete_alliance,Le RN offre des désistements limités,reconquete_alliance_full_autonomy,Refuser le pacte et investir des candidats face au RN dans tous les territoires disputés,18,10,0.556,0.063,aleatoire|risque|opportuniste_electoral|parti_dabord|contrarien,false
party_nouvelle_energie_crisis_followup,La négociation de fusion arrive au vote,nouvelle_energie_crisis_members_vote,Soumettre l’offre éventuelle et l’autonomie à un vote égal de tous les adhérents,18,10,0.556,-0.154,aleatoire|risque|parti_dabord|contrarien,false
custom_coherent_manifesto,Des économistes testent la cohérence du manifeste,custom_manifesto_priority_note,Commander en quarante-huit heures une note consacrée uniquement à la mesure sous-documentée,18,10,0.556,-0.19,prudent|aleatoire|risque,false
custom_vertical_council,Le conseil fondateur refuse une investiture imposée,custom_vertical_keep_nominee,Maintenir votre investiture et demander au conseil un vote de confiance sur toute la direction,9,5,0.556,0.36,aleatoire|risque,false
media_fictional_editorial_support,Un soutien éditorial encombrant,editorial_support_boundaries,Remercier pour l’accord ponctuel tout en publiant vos désaccords précis avec Gabriel Valès,80,44,0.55,-0.167,aleatoire|prudent|ideologiquement_coherent|parti_dabord,false
party_ecologistes_crisis_followup,La ligne énergétique revient au congrès,ecologistes_crisis_publish_scenarios,Publier trois scénarios énergétiques et laisser le conseil fédéral choisir leurs seuils communs,11,6,0.545,1.528,aleatoire|prudent|ideologiquement_coherent|parti_dabord,false
party_lr_local_asset,Les fédérations ouvrent leurs permanences,lr_local_federation_targets,Laisser chaque fédération désigner deux cantons prioritaires et publier ses objectifs de porte-à-porte,11,6,0.545,0.177,risque|parti_dabord|mediatique|contrarien,false
party_rn_local_asset,Les petites villes ouvrent la campagne,rn_local_services_tour,Consacrer quatre jours aux services et confier les réunions publiques aux élus locaux,11,6,0.545,-0.245,aleatoire|prudent|risque|ideologiquement_coherent,false
internal_financial_review,Le contrôle interne signale trois factures,financial_review_ignore,Valider les factures sur la confiance de la trésorière et poursuivre les paiements,118,64,0.542,-0.074,risque|opportuniste_electoral|parti_dabord|mediatique|aleatoire,false
alliance_mayors_appeal,Deux cents maires demandent un contrat,mayors_contract,Signer un contrat de cinq ans avec conférence annuelle et indicateurs publiés par territoire,52,28,0.538,0.855,aleatoire|risque|opportuniste_electoral|parti_dabord|mediatique,false
party_nouvelle_energie_local_asset,Des entrepreneurs prêtent leurs réseaux,nouvelle_energie_local_professional_campaign,Confier la logistique et les outils numériques à un comité de dirigeants bénévoles,13,7,0.538,-1.747,aleatoire|prudent|mediatique|contrarien,false
internal_primary_debt,La promesse faite après la primaire,primary_debt_break,Refuser le poste promis et offrir seulement un droit d’amendement avant publication,157,84,0.535,-0.059,risque|opportuniste_electoral|mediatique|contrarien|aleatoire,false
media_live_stream,Le direct des questions citoyennes,livestream_continue_all,Reporter le déplacement suivant et répondre jusqu’à épuiser la file de questions,144,77,0.535,0.395,risque|ideologiquement_coherent|opportuniste_electoral|mediatique|aleatoire|contrarien,false
campaign_student_forum,Le forum étudiant refuse les slogans,students_grants_index,Indexer les bourses sur les loyers locaux et publier le coût par ville,71,38,0.535,0.493,risque|ideologiquement_coherent|parti_dabord|mediatique|aleatoire,false
alliance_center_pact,Renaissance offre un pacte de stabilité,center_pact_reject,Refuser tout pacte avant le vote et proposer seulement un débat public sur l’Europe,15,8,0.533,-0.886,aleatoire|ideologiquement_coherent|opportuniste_electoral|parti_dabord|mediatique,false
scandal_audit_conclusion,L’audit clôt le dossier des factures,audit_conclusion_all,Publier la conclusion intégrale et appliquer les six recommandations avant tout nouveau paiement,96,51,0.531,-0.275,risque|opportuniste_electoral|aleatoire|ideologiquement_coherent|prudent,false
media_documentary_access,La caméra derrière la porte,documentary_full_access,"Accorder l’accès complet, y compris aux arbitrages et aux désaccords de l’équipe",49,26,0.531,0.032,risque|opportuniste_electoral|mediatique|contrarien|aleatoire,false
campaign_overseas_trip,Le déplacement en Guadeloupe engage,overseas_price_observatory,Renforcer l’observatoire des prix et publier les marges par filière,17,9,0.529,0.796,aleatoire|prudent|opportuniste_electoral|parti_dabord|mediatique,false
world_national_strike,La grève bloque les transports,strike_support_workers,Soutenir les revendications salariales et rejoindre le piquet sans demander la reprise du trafic,17,9,0.529,0.647,aleatoire|parti_dabord|ideologiquement_coherent|mediatique,false
media_open_microphone,Le micro resté ouvert,open_mic_apology,Présenter vos excuses à Anaïs Vercel devant l’équipe et lui confirmer publiquement votre confiance,138,73,0.529,-0.058,risque|ideologiquement_coherent|opportuniste_electoral|parti_dabord|aleatoire,false
campaign_hospital_night,Une nuit avec les urgences,hospital_night_staff,Annoncer un renfort d’équipes de nuit financé par redéploiement administratif,55,29,0.527,0.286,risque|aleatoire|opportuniste_electoral|ideologiquement_coherent|contrarien,false
program_immigration,La loi migratoire du programme,immigration_annual_quota,Faire voter chaque année des objectifs migratoires par motif et renforcer les contrôles aux frontières,95,50,0.526,-0.409,aleatoire|opportuniste_electoral|parti_dabord|mediatique|contrarien|ideologiquement_coherent,false
world_european_vote,Le Conseil européen se divise,european_vote_national_fund,Abandonner le projet européen et créer un fonds industriel exclusivement français,21,11,0.524,0.644,parti_dabord|contrarien|risque|aleatoire|ideologiquement_coherent,false
party_ps_fronde,Élise Marceau conteste la synthèse,ps_fronde_negotiate,Négocier avec Ilyes Marceau une contribution exceptionnelle sur les patrimoines les plus élevés,21,11,0.524,-1.087,aleatoire|prudent|risque|ideologiquement_coherent|parti_dabord,false
party_renaissance_alliance,Horizons propose une candidature commune,renaissance_alliance_refuse,Refuser toute négociation et publier les divergences économiques avec Horizons,21,11,0.524,0.378,aleatoire|risque|parti_dabord|mediatique|contrarien,false
party_horizons_crisis_followup,Le mandat de négociation arrive à échéance,horizons_crisis_members_vote,Faire voter les adhérents sur l’offre et promettre d’appliquer leur décision,21,11,0.524,0.045,prudent|risque|parti_dabord|contrarien,false
party_lr_alliance,Horizons propose un accord économique,lr_alliance_refuse_center,Refuser la plateforme et dévoiler un contre-projet fiscal propre à LR,21,11,0.524,-0.414,risque|parti_dabord|mediatique|contrarien,false
party_lfi_program_dilemma,La désobéissance européenne doit être définie,lfi_program_unilateral,"Annoncer que le programme national sappliquera immédiatement, avec négociation européenne ensuite",23,12,0.522,0.164,aleatoire|risque|parti_dabord|mediatique|contrarien,false
campaign_endorsements_missing,Les parrainages restent sous le seuil,endorsements_cross_party,Négocier des parrainages pluralistes sans demander de soutien politique,117,61,0.521,0.217,aleatoire|risque|ideologiquement_coherent|opportuniste_electoral|parti_dabord,false
