location,eventId,field,excerpt,classification
"event","party_ps_fronde","summary","Ilyes Marceau, président fictif d’un courant socialiste, menace de déposer sa propre plateforme. Il exige un engagement fiscal précis et accuse la direction de …","à reformuler"
"event","party_ecologistes_fronde","summary","Maya Lestang, députée fictive, veut inscrire une sortie accélérée du nucléaire. Des maires écologistes redoutent qu’un calendrier rigide masque les besoins indu…","à reformuler"
"event","party_renaissance_fronde","summary","Salomé Varenne, cadre fictive de Renaissance, refuse que la campagne traite le quinquennat comme un fardeau. Elle rassemble des élus et demande un discours de c…","à reformuler"
"event","party_renaissance_rare","summary","Un groupe de ministres fictifs et d’anciens responsables de la majorité publie un manifeste pour une candidature de continuité. Ils ne citent personne, mais leu…","à reformuler"
"event","party_horizons_fronde","summary","Théo Lagrive, cadre fictif d’Horizons, estime qu’une candidature autonome divise inutilement le centre. Il réunit plusieurs élus locaux favorables à une négocia…","à reformuler"
"event","party_horizons_rare","summary","Un collectif de maires fictifs du centre droit annonce une consultation ouverte entre Horizons, Renaissance et LR. Leur réseau logistique est réel, mais aucun a…","à reformuler"
"event","party_lr_fronde","summary","Diane Mérande, cadre fictive de LR, affirme que plusieurs fédérations souhaitent parler au RN avant le premier tour. Elle demande un mandat officiel limité aux …","à reformuler"
"event","party_lr_rare","summary","Trois présidents fictifs de fédération annoncent qu’ils financeront leurs propres supports et candidats si la stratégie nationale reste floue. Leur implantation…","à reformuler"
"choice","party_rn_identity","rn_identity_government_team.label","Présenter d’abord une équipe économique fictive et un calendrier des cent premiers jours","à reformuler"
"event","party_rn_fronde","summary","Louis Ferran, cadre fictif du RN, juge la stratégie de normalisation trop lente. Il veut réserver la moitié des meetings aux thèmes identitaires et rassemble pl…","à reformuler"
"choice","party_rn_runoff","rn_runoff_government_guarantees.label","Publier une équipe fictive complète et garantir le maintien de la France dans l’Union européenne","à reformuler"
"event","party_rn_dissidence","summary","Des cadres fictifs exclus après le conflit interne annoncent un comité concurrent autour de Louis Ferran. Ils disposent de militants mais manquent de financemen…","à reformuler"
"event","party_reconquete_fronde","summary","Hélène Saint-Cyr, cadre fictive de Reconquête, juge que l’ouverture économique efface les priorités identitaires. Elle propose une convention concurrente et mob…","à reformuler"
"event","party_reconquete_rare","summary","Des cadres fictifs issus de Reconquête et du RN proposent de créer un mouvement commun après la présidentielle. Ils demandent dès maintenant un congrès fondateu…","à reformuler"
"event","party_nouvelle_energie_fronde","summary","Raphaël Ternois, cadre fictif de Nouvelle Énergie, estime que la candidature autonome ne peut pas se qualifier. Il réunit les premiers élus du mouvement autour …","à reformuler"
"choice","party_nouvelle_energie_runoff","nouvelle_energie_runoff_civic_government.label","Publier une équipe fictive issue de la société civile et demander des soutiens sans accord de postes","à reformuler"
"event","runoff_endorsement_wave","summary","Trois candidats fictifs éliminés annoncent leur soutien, mais chacun demande un signal différent sur l’écologie, les retraites ou la décentralisation. Les recev…","à reformuler"
"event","runoff_final_debate","summary","Face à votre finaliste fictif, le débat de France 2 et TF1 revient sur vos contradictions de campagne, vos alliances et votre capacité à gouverner. Une audience…","à reformuler"
"event","eliminated_endorse_candidate","summary","Éliminé du premier tour, vous pouvez soutenir le finaliste fictif le plus proche, négocier des garanties ou rester indépendant. Vos électeurs ne sont pas une pr…","à reformuler"
"event","eliminated_no_instruction","summary","Les deux finalistes fictifs sont éloignés de vos positions sur des sujets différents. Refuser de choisir protège votre identité ; fixer des critères ou appeler …","à reformuler"
"event","government_prime_minister","summary","Votre victoire fictive ouvre immédiatement la question de Matignon. Une figure de votre parti garantit la ligne, une alliée consolide la majorité et une personn…","à reformuler"
"choice","government_prime_minister","prime_minister_party.label","Nommer la responsable fictive du programme et lui confier la négociation de la majorité","à reformuler"
"choice","government_prime_minister","prime_minister_ally.label","Nommer une alliée fictive et signer avec elle un contrat de coalition public","à reformuler"
"choice","government_prime_minister","prime_minister_independent.label","Choisir une haute fonctionnaire fictive indépendante et lui demander une équipe resserrée","à reformuler"
"event","government_balance","summary","La liste fictive doit équilibrer compétences, parité, territoires et partenaires en quinze postes. Trois alliés demandent le même ministère économique et plusie…","à reformuler"
"event","government_first_address","summary","Après les célébrations, votre première parole présidentielle fictive doit hiérarchiser le mandat. Les partenaires attendent leurs concessions, votre parti atten…","à reformuler"
"event","government_ministry_conflict","summary","Deux responsables fictifs ayant soutenu votre second tour revendiquent le ministère de l’Économie. L’un apporte des parlementaires, l’autre a rédigé le contrat …","à reformuler"
"choice","government_ministry_conflict","ministry_conflict_third.label","Écarter les deux candidatures et nommer une économiste fictive indépendante","à reformuler"
"achievement","first_poll","description","Recevoir votre premier sondage fictif.","à reformuler"
"achievement","elysee","description","Remporter l’élection présidentielle fictive.","à reformuler"
"achievement","no_scandal","description","Finir sans traverser de scandale fictif.","à reformuler"
"achievement","three_scandals","description","Surmonter trois scandales fictifs sans perdre toute crédibilité.","à reformuler"
"achievement","won_lfi","title","Sixième République fictive","à reformuler"
"ending","divided_party","narrative","La campagne a révélé plus de fractures qu’elle n’en a refermées. Les cadres fictifs se préparent déjà à disputer l’héritage et la direction.","à reformuler"
"ending","secret_national_union","narrative","Uchronie fictive : une crise institutionnelle conduit des adversaires à former une coalition temporaire. Vous devenez l’un des garants d’un équilibre exceptionn…","à reformuler"
"ending","secret_fragmentation","narrative","Uchronie fictive : scissions et dissidences se multiplient jusqu’à rendre toute majorité introuvable. Votre candidature survit dans un paysage entièrement recom…","à reformuler"
