pairId,endorsementId,acceptScore,declineScore,scoreDelta,acceptQualified,declineQualified,qualificationChanged
cfC-endorsement_cazalis_institutional_continuity-392,endorsement_cazalis_institutional_continuity,91,93,-2,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-396,endorsement_esteves_liberal_entrepreneur,90,90,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-397,endorsement_brancourt_sovereigntist,65,66,-1,false,false,false
cfC-endorsement_ferrandi_local_network-398,endorsement_ferrandi_local_network,82,88,-6,true,true,false
cfC-endorsement_cazalis_institutional_continuity-400,endorsement_cazalis_institutional_continuity,84,75,9,true,true,false
cfC-endorsement_ravignan_historic_right-401,endorsement_ravignan_historic_right,45,44,1,false,false,false
cfC-endorsement_chastagnier_social_democratic-418,endorsement_chastagnier_social_democratic,83,83,0,true,true,false
cfC-endorsement_kervadec_left_intellectual-435,endorsement_kervadec_left_intellectual,80,80,0,true,true,false
cfC-endorsement_cazalis_institutional_continuity-440,endorsement_cazalis_institutional_continuity,96,94,2,true,true,false
cfC-endorsement_kervadec_left_intellectual-443,endorsement_kervadec_left_intellectual,94,95,-1,true,true,false
cfC-endorsement_ravignan_historic_right-449,endorsement_ravignan_historic_right,43,43,0,false,false,false
cfC-endorsement_ravignan_historic_right-457,endorsement_ravignan_historic_right,46,45,1,false,false,false
cfC-endorsement_chastagnier_social_democratic-458,endorsement_chastagnier_social_democratic,92,92,0,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-460,endorsement_esteves_liberal_entrepreneur,88,88,0,true,true,false
cfC-endorsement_chastagnier_social_democratic-466,endorsement_chastagnier_social_democratic,100,100,0,true,true,false
cfC-endorsement_chastagnier_social_democratic-474,endorsement_chastagnier_social_democratic,83,83,0,true,true,false
cfC-endorsement_aurousseau_green_governance-479,endorsement_aurousseau_green_governance,76,69,7,true,true,false
cfC-endorsement_kervadec_left_intellectual-491,endorsement_kervadec_left_intellectual,89,89,0,true,true,false
cfC-endorsement_aurousseau_green_governance-495,endorsement_aurousseau_green_governance,47,46,1,false,false,false
cfC-endorsement_esteves_liberal_entrepreneur-508,endorsement_esteves_liberal_entrepreneur,71,71,0,true,true,false
cfC-endorsement_ferrandi_local_network-510,endorsement_ferrandi_local_network,86,86,0,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-516,endorsement_esteves_liberal_entrepreneur,97,97,0,true,true,false
cfC-endorsement_chastagnier_social_democratic-530,endorsement_chastagnier_social_democratic,93,94,-1,true,true,false
cfC-endorsement_kervadec_left_intellectual-531,endorsement_kervadec_left_intellectual,87,88,-1,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-540,endorsement_esteves_liberal_entrepreneur,83,90,-7,true,true,false
cfC-endorsement_ferrandi_local_network-542,endorsement_ferrandi_local_network,90,90,0,true,true,false
cfC-endorsement_ravignan_historic_right-545,endorsement_ravignan_historic_right,58,57,1,false,false,false
cfC-endorsement_chastagnier_social_democratic-546,endorsement_chastagnier_social_democratic,96,96,0,true,true,false
cfC-endorsement_kervadec_left_intellectual-547,endorsement_kervadec_left_intellectual,99,99,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-549,endorsement_brancourt_sovereigntist,77,77,0,true,true,false
cfC-endorsement_aurousseau_green_governance-551,endorsement_aurousseau_green_governance,70,50,20,true,false,true
cfC-endorsement_ravignan_historic_right-553,endorsement_ravignan_historic_right,48,47,1,false,false,false
cfC-endorsement_kervadec_left_intellectual-555,endorsement_kervadec_left_intellectual,91,91,0,true,true,false
cfC-endorsement_cazalis_institutional_continuity-560,endorsement_cazalis_institutional_continuity,89,89,0,true,true,false
cfC-endorsement_cazalis_institutional_continuity-568,endorsement_cazalis_institutional_continuity,68,69,-1,true,true,false
cfC-endorsement_ravignan_historic_right-569,endorsement_ravignan_historic_right,51,50,1,false,false,false
cfC-endorsement_kervadec_left_intellectual-571,endorsement_kervadec_left_intellectual,97,98,-1,true,true,false
cfC-endorsement_cazalis_institutional_continuity-576,endorsement_cazalis_institutional_continuity,89,91,-2,true,true,false
cfC-endorsement_ravignan_historic_right-585,endorsement_ravignan_historic_right,77,76,1,true,true,false
cfC-endorsement_chastagnier_social_democratic-586,endorsement_chastagnier_social_democratic,93,93,0,true,true,false
cfC-endorsement_cazalis_institutional_continuity-600,endorsement_cazalis_institutional_continuity,91,92,-1,true,true,false
cfC-endorsement_brancourt_sovereigntist-605,endorsement_brancourt_sovereigntist,92,92,0,true,true,false
cfC-endorsement_aurousseau_green_governance-607,endorsement_aurousseau_green_governance,53,53,0,false,false,false
cfC-endorsement_aurousseau_green_governance-615,endorsement_aurousseau_green_governance,65,64,1,false,false,false
cfC-endorsement_esteves_liberal_entrepreneur-628,endorsement_esteves_liberal_entrepreneur,57,57,0,false,false,false
cfC-endorsement_ferrandi_local_network-638,endorsement_ferrandi_local_network,94,94,0,true,true,false
cfC-endorsement_ravignan_historic_right-641,endorsement_ravignan_historic_right,88,69,19,true,false,true
cfC-endorsement_brancourt_sovereigntist-645,endorsement_brancourt_sovereigntist,88,88,0,true,true,false
cfC-endorsement_chastagnier_social_democratic-650,endorsement_chastagnier_social_democratic,99,100,-1,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-660,endorsement_esteves_liberal_entrepreneur,92,92,0,true,true,false
cfC-endorsement_chastagnier_social_democratic-666,endorsement_chastagnier_social_democratic,98,98,0,true,true,false
cfC-endorsement_cazalis_institutional_continuity-672,endorsement_cazalis_institutional_continuity,88,88,0,true,true,false
cfC-endorsement_ravignan_historic_right-673,endorsement_ravignan_historic_right,51,51,0,false,false,false
cfC-endorsement_esteves_liberal_entrepreneur-684,endorsement_esteves_liberal_entrepreneur,92,92,0,true,true,false
cfC-endorsement_cazalis_institutional_continuity-688,endorsement_cazalis_institutional_continuity,75,77,-2,true,true,false
cfC-endorsement_brancourt_sovereigntist-693,endorsement_brancourt_sovereigntist,89,89,0,true,true,false
cfC-endorsement_cazalis_institutional_continuity-704,endorsement_cazalis_institutional_continuity,89,86,3,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-708,endorsement_esteves_liberal_entrepreneur,86,86,0,true,true,false
cfC-endorsement_chastagnier_social_democratic-714,endorsement_chastagnier_social_democratic,94,94,0,true,true,false
cfC-endorsement_kervadec_left_intellectual-715,endorsement_kervadec_left_intellectual,86,86,0,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-724,endorsement_esteves_liberal_entrepreneur,84,84,0,true,true,false
cfC-endorsement_chastagnier_social_democratic-738,endorsement_chastagnier_social_democratic,91,90,1,true,true,false
cfC-endorsement_ferrandi_local_network-742,endorsement_ferrandi_local_network,76,76,0,true,true,false
cfC-endorsement_chastagnier_social_democratic-746,endorsement_chastagnier_social_democratic,87,87,0,true,true,false
cfC-endorsement_ravignan_historic_right-753,endorsement_ravignan_historic_right,58,57,1,false,false,false
cfC-endorsement_esteves_liberal_entrepreneur-756,endorsement_esteves_liberal_entrepreneur,62,62,0,false,false,false
cfC-endorsement_chastagnier_social_democratic-762,endorsement_chastagnier_social_democratic,88,87,1,true,true,false
cfC-endorsement_aurousseau_green_governance-767,endorsement_aurousseau_green_governance,76,75,1,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-772,endorsement_esteves_liberal_entrepreneur,85,85,0,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-780,endorsement_esteves_liberal_entrepreneur,64,64,0,false,false,false
cfC-endorsement_ravignan_historic_right-785,endorsement_ravignan_historic_right,48,47,1,false,false,false
cfC-endorsement_esteves_liberal_entrepreneur-788,endorsement_esteves_liberal_entrepreneur,92,91,1,true,true,false
cfC-endorsement_chastagnier_social_democratic-794,endorsement_chastagnier_social_democratic,83,83,0,true,true,false
cfC-endorsement_ravignan_historic_right-801,endorsement_ravignan_historic_right,55,55,0,false,false,false
cfC-endorsement_esteves_liberal_entrepreneur-804,endorsement_esteves_liberal_entrepreneur,92,92,0,true,true,false
cfC-endorsement_cazalis_institutional_continuity-808,endorsement_cazalis_institutional_continuity,83,82,1,true,true,false
cfC-endorsement_brancourt_sovereigntist-813,endorsement_brancourt_sovereigntist,92,92,0,true,true,false
cfC-endorsement_ravignan_historic_right-817,endorsement_ravignan_historic_right,67,64,3,false,false,false
cfC-endorsement_ravignan_historic_right-825,endorsement_ravignan_historic_right,87,87,0,true,true,false
cfC-endorsement_ravignan_historic_right-833,endorsement_ravignan_historic_right,52,51,1,false,false,false
cfC-endorsement_kervadec_left_intellectual-843,endorsement_kervadec_left_intellectual,84,84,0,true,true,false
cfC-endorsement_kervadec_left_intellectual-851,endorsement_kervadec_left_intellectual,88,88,0,true,true,false
cfC-endorsement_ferrandi_local_network-854,endorsement_ferrandi_local_network,54,54,0,false,false,false
cfC-endorsement_ferrandi_local_network-862,endorsement_ferrandi_local_network,82,81,1,true,true,false
cfC-endorsement_chastagnier_social_democratic-866,endorsement_chastagnier_social_democratic,92,92,0,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-868,endorsement_esteves_liberal_entrepreneur,82,82,0,true,true,false
cfC-endorsement_aurousseau_green_governance-871,endorsement_aurousseau_green_governance,77,77,0,true,true,false
cfC-endorsement_chastagnier_social_democratic-890,endorsement_chastagnier_social_democratic,81,81,0,true,true,false
cfC-endorsement_aurousseau_green_governance-895,endorsement_aurousseau_green_governance,85,85,0,true,true,false
cfC-endorsement_ravignan_historic_right-897,endorsement_ravignan_historic_right,47,46,1,false,false,false
cfC-endorsement_brancourt_sovereigntist-901,endorsement_brancourt_sovereigntist,48,48,0,false,false,false
cfC-endorsement_cazalis_institutional_continuity-904,endorsement_cazalis_institutional_continuity,67,68,-1,true,true,false
cfC-endorsement_ravignan_historic_right-905,endorsement_ravignan_historic_right,64,63,1,false,false,false
cfC-endorsement_kervadec_left_intellectual-907,endorsement_kervadec_left_intellectual,88,88,0,true,true,false
cfC-endorsement_ravignan_historic_right-913,endorsement_ravignan_historic_right,58,58,0,false,false,false
cfC-endorsement_cazalis_institutional_continuity-920,endorsement_cazalis_institutional_continuity,54,54,0,false,false,false
cfC-endorsement_ravignan_historic_right-921,endorsement_ravignan_historic_right,56,55,1,false,false,false
cfC-endorsement_brancourt_sovereigntist-925,endorsement_brancourt_sovereigntist,51,51,0,false,false,false
cfC-endorsement_aurousseau_green_governance-935,endorsement_aurousseau_green_governance,69,66,3,true,true,false
cfC-endorsement_brancourt_sovereigntist-941,endorsement_brancourt_sovereigntist,95,94,1,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-948,endorsement_esteves_liberal_entrepreneur,84,85,-1,true,true,false
cfC-endorsement_aurousseau_green_governance-951,endorsement_aurousseau_green_governance,48,47,1,false,false,false
cfC-endorsement_cazalis_institutional_continuity-960,endorsement_cazalis_institutional_continuity,90,89,1,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-964,endorsement_esteves_liberal_entrepreneur,77,77,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-965,endorsement_brancourt_sovereigntist,91,91,0,true,true,false
cfC-endorsement_ferrandi_local_network-966,endorsement_ferrandi_local_network,84,84,0,true,true,false
cfC-endorsement_aurousseau_green_governance-967,endorsement_aurousseau_green_governance,58,57,1,false,false,false
cfC-endorsement_aurousseau_green_governance-975,endorsement_aurousseau_green_governance,42,41,1,false,false,false
cfC-endorsement_brancourt_sovereigntist-981,endorsement_brancourt_sovereigntist,80,80,0,true,true,false
cfC-endorsement_ferrandi_local_network-982,endorsement_ferrandi_local_network,55,54,1,false,false,false
cfC-endorsement_ferrandi_local_network-990,endorsement_ferrandi_local_network,83,83,0,true,true,false
cfC-endorsement_cazalis_institutional_continuity-992,endorsement_cazalis_institutional_continuity,84,83,1,true,true,false
cfC-endorsement_aurousseau_green_governance-999,endorsement_aurousseau_green_governance,39,38,1,false,false,false
cfC-endorsement_chastagnier_social_democratic-1002,endorsement_chastagnier_social_democratic,82,89,-7,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-1004,endorsement_esteves_liberal_entrepreneur,92,92,0,true,true,false
cfC-endorsement_aurousseau_green_governance-1007,endorsement_aurousseau_green_governance,76,76,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-1013,endorsement_brancourt_sovereigntist,92,92,0,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-1020,endorsement_esteves_liberal_entrepreneur,85,85,0,true,true,false
cfC-endorsement_aurousseau_green_governance-1023,endorsement_aurousseau_green_governance,45,44,1,false,false,false
cfC-endorsement_aurousseau_green_governance-1031,endorsement_aurousseau_green_governance,82,45,37,true,false,true
cfC-endorsement_ravignan_historic_right-1041,endorsement_ravignan_historic_right,54,53,1,false,false,false
cfC-endorsement_kervadec_left_intellectual-1051,endorsement_kervadec_left_intellectual,86,86,0,true,true,false
cfC-endorsement_kervadec_left_intellectual-1059,endorsement_kervadec_left_intellectual,85,85,0,true,true,false
cfC-endorsement_ferrandi_local_network-1062,endorsement_ferrandi_local_network,81,81,0,true,true,false
cfC-endorsement_cazalis_institutional_continuity-1064,endorsement_cazalis_institutional_continuity,90,88,2,true,true,false
cfC-endorsement_ravignan_historic_right-1065,endorsement_ravignan_historic_right,44,44,0,false,false,false
cfC-endorsement_esteves_liberal_entrepreneur-1068,endorsement_esteves_liberal_entrepreneur,94,94,0,true,true,false
cfC-endorsement_chastagnier_social_democratic-1074,endorsement_chastagnier_social_democratic,83,84,-1,true,true,false
cfC-endorsement_ravignan_historic_right-1081,endorsement_ravignan_historic_right,57,56,1,false,false,false
cfC-endorsement_chastagnier_social_democratic-1082,endorsement_chastagnier_social_democratic,94,94,0,true,true,false
cfC-endorsement_ferrandi_local_network-1086,endorsement_ferrandi_local_network,90,90,0,true,true,false
cfC-endorsement_ravignan_historic_right-1089,endorsement_ravignan_historic_right,66,66,0,false,false,false
cfC-endorsement_aurousseau_green_governance-1111,endorsement_aurousseau_green_governance,50,49,1,false,false,false
cfC-endorsement_ferrandi_local_network-1118,endorsement_ferrandi_local_network,56,55,1,false,false,false
cfC-endorsement_cazalis_institutional_continuity-1128,endorsement_cazalis_institutional_continuity,92,93,-1,true,true,false
cfC-endorsement_aurousseau_green_governance-1135,endorsement_aurousseau_green_governance,88,87,1,true,true,false
cfC-endorsement_aurousseau_green_governance-1151,endorsement_aurousseau_green_governance,52,51,1,false,false,false
cfC-endorsement_esteves_liberal_entrepreneur-1156,endorsement_esteves_liberal_entrepreneur,85,85,0,true,true,false
cfC-endorsement_ferrandi_local_network-1158,endorsement_ferrandi_local_network,73,73,0,true,true,false
cfC-endorsement_ravignan_historic_right-1161,endorsement_ravignan_historic_right,82,82,0,true,true,false
cfC-endorsement_aurousseau_green_governance-1167,endorsement_aurousseau_green_governance,48,47,1,false,false,false
cfC-endorsement_ravignan_historic_right-1169,endorsement_ravignan_historic_right,58,57,1,false,false,false
cfC-endorsement_chastagnier_social_democratic-1170,endorsement_chastagnier_social_democratic,90,90,0,true,true,false
cfC-endorsement_cazalis_institutional_continuity-1176,endorsement_cazalis_institutional_continuity,88,89,-1,true,true,false
cfC-endorsement_chastagnier_social_democratic-1178,endorsement_chastagnier_social_democratic,99,99,0,true,true,false
cfC-endorsement_kervadec_left_intellectual-1179,endorsement_kervadec_left_intellectual,87,87,0,true,true,false
cfC-endorsement_cazalis_institutional_continuity-1184,endorsement_cazalis_institutional_continuity,76,85,-9,true,true,false
cfC-endorsement_chastagnier_social_democratic-1194,endorsement_chastagnier_social_democratic,100,100,0,true,true,false
cfC-endorsement_ferrandi_local_network-1206,endorsement_ferrandi_local_network,71,71,0,true,true,false
cfC-endorsement_cazalis_institutional_continuity-1208,endorsement_cazalis_institutional_continuity,82,83,-1,true,true,false
cfC-endorsement_kervadec_left_intellectual-1211,endorsement_kervadec_left_intellectual,97,97,0,true,true,false
cfC-endorsement_ferrandi_local_network-1214,endorsement_ferrandi_local_network,88,88,0,true,true,false
cfC-endorsement_aurousseau_green_governance-1223,endorsement_aurousseau_green_governance,52,52,0,false,false,false
cfC-endorsement_aurousseau_green_governance-1239,endorsement_aurousseau_green_governance,56,55,1,false,false,false
cfC-endorsement_chastagnier_social_democratic-1242,endorsement_chastagnier_social_democratic,100,100,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-1245,endorsement_brancourt_sovereigntist,89,89,0,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-1252,endorsement_esteves_liberal_entrepreneur,86,86,0,true,true,false
cfC-endorsement_cazalis_institutional_continuity-1264,endorsement_cazalis_institutional_continuity,85,84,1,true,true,false
cfC-endorsement_kervadec_left_intellectual-1291,endorsement_kervadec_left_intellectual,92,93,-1,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-1300,endorsement_esteves_liberal_entrepreneur,39,39,0,false,false,false
cfC-endorsement_brancourt_sovereigntist-1309,endorsement_brancourt_sovereigntist,39,40,-1,false,false,false
cfC-endorsement_esteves_liberal_entrepreneur-1316,endorsement_esteves_liberal_entrepreneur,92,92,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-1317,endorsement_brancourt_sovereigntist,85,86,-1,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-1324,endorsement_esteves_liberal_entrepreneur,62,63,-1,false,false,false
cfC-endorsement_ravignan_historic_right-1329,endorsement_ravignan_historic_right,53,52,1,false,false,false
cfC-endorsement_kervadec_left_intellectual-1331,endorsement_kervadec_left_intellectual,94,94,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-1333,endorsement_brancourt_sovereigntist,58,58,0,false,false,false
cfC-endorsement_kervadec_left_intellectual-1339,endorsement_kervadec_left_intellectual,90,85,5,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-1340,endorsement_esteves_liberal_entrepreneur,91,91,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-1341,endorsement_brancourt_sovereigntist,83,83,0,true,true,false
cfC-endorsement_kervadec_left_intellectual-1347,endorsement_kervadec_left_intellectual,97,97,0,true,true,false
cfC-endorsement_chastagnier_social_democratic-1354,endorsement_chastagnier_social_democratic,79,79,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-1357,endorsement_brancourt_sovereigntist,47,48,-1,false,false,false
cfC-endorsement_kervadec_left_intellectual-1371,endorsement_kervadec_left_intellectual,90,90,0,true,true,false
cfC-endorsement_ferrandi_local_network-1374,endorsement_ferrandi_local_network,75,75,0,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-1380,endorsement_esteves_liberal_entrepreneur,62,62,0,false,false,false
cfC-endorsement_aurousseau_green_governance-1383,endorsement_aurousseau_green_governance,57,56,1,false,false,false
cfC-endorsement_esteves_liberal_entrepreneur-1388,endorsement_esteves_liberal_entrepreneur,84,84,0,true,true,false
cfC-endorsement_cazalis_institutional_continuity-1392,endorsement_cazalis_institutional_continuity,92,79,13,true,true,false
cfC-endorsement_brancourt_sovereigntist-1397,endorsement_brancourt_sovereigntist,97,97,0,true,true,false
cfC-endorsement_chastagnier_social_democratic-1410,endorsement_chastagnier_social_democratic,100,100,0,true,true,false
cfC-endorsement_ravignan_historic_right-1417,endorsement_ravignan_historic_right,52,52,0,false,false,false
cfC-endorsement_esteves_liberal_entrepreneur-1420,endorsement_esteves_liberal_entrepreneur,83,83,0,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-1436,endorsement_esteves_liberal_entrepreneur,93,93,0,true,true,false
cfC-endorsement_ravignan_historic_right-1441,endorsement_ravignan_historic_right,54,53,1,false,false,false
cfC-endorsement_kervadec_left_intellectual-1443,endorsement_kervadec_left_intellectual,94,94,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-1453,endorsement_brancourt_sovereigntist,42,43,-1,false,false,false
cfC-endorsement_aurousseau_green_governance-1463,endorsement_aurousseau_green_governance,44,43,1,false,false,false
cfC-endorsement_kervadec_left_intellectual-1475,endorsement_kervadec_left_intellectual,93,93,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-1477,endorsement_brancourt_sovereigntist,41,41,0,false,false,false
cfC-endorsement_aurousseau_green_governance-1479,endorsement_aurousseau_green_governance,66,66,0,false,false,false
cfC-endorsement_kervadec_left_intellectual-1483,endorsement_kervadec_left_intellectual,99,99,0,true,true,false
cfC-endorsement_ferrandi_local_network-1502,endorsement_ferrandi_local_network,64,63,1,false,false,false
cfC-endorsement_chastagnier_social_democratic-1506,endorsement_chastagnier_social_democratic,99,99,0,true,true,false
cfC-endorsement_kervadec_left_intellectual-1507,endorsement_kervadec_left_intellectual,100,100,0,true,true,false
cfC-endorsement_ferrandi_local_network-1510,endorsement_ferrandi_local_network,87,86,1,true,true,false
cfC-endorsement_kervadec_left_intellectual-1515,endorsement_kervadec_left_intellectual,95,95,0,true,true,false
cfC-endorsement_esteves_liberal_entrepreneur-1516,endorsement_esteves_liberal_entrepreneur,74,74,0,true,true,false
cfC-endorsement_ferrandi_local_network-1526,endorsement_ferrandi_local_network,93,93,0,true,true,false
cfC-endorsement_brancourt_sovereigntist-1533,endorsement_brancourt_sovereigntist,82,82,0,true,true,false
cfC-endorsement_aurousseau_green_governance-1535,endorsement_aurousseau_green_governance,63,63,0,true,true,false
cfC-endorsement_ravignan_historic_right-1545,endorsement_ravignan_historic_right,53,52,1,false,false,false
