eventId,title,category,rarity,occurrences,meanIntensity,meanAbsPollDelta,choiceEntropyNormalized,dominantChoiceShare,isChain,isRare,compositeScore,grade
party_lr_fronde,Diane Mérande veut négocier à droite,party,common,83,5,1.55,0.834,0.735,true,false,66,A
scandal_treasurer_invoices,Les factures sans pièce ressortent,scandal,common,199,6,1.05,0.875,0.477,true,false,65.8,A
party_lfi_crisis_followup,La fronde sociale exige un vote,party,common,53,6,1.24,0.856,0.453,true,false,65.7,A
rare_hologram_revolt,Le double numérique refuse de démarrer,rare,rare,107,5,0.79,0.986,0.383,false,true,65.7,A
rare_exceptional_powers,Le débat sur les pouvoirs exceptionnels,rare,rare,86,6,0.94,0.963,0.453,false,true,65.2,A
internal_financial_review,Le contrôle interne signale trois factures,internal,common,273,5,0.43,0.905,0.513,true,false,64.5,A
party_rn_fronde,Louis Ferran refuse la modération,party,common,79,5,1.19,0.835,0.734,true,false,64.5,A
rare_debate_blackout,Le studio plonge dans le noir,rare,rare,47,6,0.52,0.955,0.468,false,true,63.1,A
rare_fragmented_congress,Neuf groupes rendent la majorité incertaine,rare,rare,109,6,0.81,0.918,0.431,false,true,62.7,A
media_fact_check_followup,Le coût passe au crible,media,common,41,5,0.47,0.86,0.463,true,false,62.7,A
rare_crown_petition,Une pétition monarchiste atteint le million,rare,legendary,27,4.63,1.03,0.966,0.444,false,true,62.5,A
rare_civil_suspension,Votre voix ne tient plus,rare,rare,41,6,0.48,0.94,0.488,false,true,62.3,A
media_past_words,Une promesse revient au montage,media,uncommon,74,5,1.2,0.774,0.676,true,false,61.8,A
party_lr_signature,La sécurité du quotidien exige des moyens,party,common,64,5,1.8,0.982,0.578,false,false,61.7,A
rare_national_union,Une coalition de crise est proposée,rare,legendary,40,6,2.06,0.769,0.55,false,true,61.2,A
party_reconquete_program_dilemma,La souveraineté économique cherche ses instruments,party,common,68,5,1.54,0.99,0.559,false,false,61,A
media_prime_time_invite,Le fauteuil libéré au vingt heures,media,common,436,5,1.18,0.993,0.362,false,false,59.6,A
scandal_false_resume,Une ligne du CV est fausse,scandal,common,253,3.38,1.14,0.996,0.375,false,false,59.6,A
runoff_endorsement_wave,Les soutiens arrivent avec leurs conditions,between_rounds,common,699,5,1.29,0.984,0.395,false,false,59.6,A
party_nouvelle_energie_signature,Le permis d’entreprendre doit être défini,party,common,85,5,1.34,0.971,0.6,false,false,59.3,A
media_live_stream,Le direct des questions citoyennes,media,common,505,2.73,1.23,0.974,0.594,false,false,59,A
internal_nomination_rules,Les règles de la liste commune,internal,common,125,3,1.39,0.958,0.432,false,false,58.9,A
party_rn_program_dilemma,La préférence nationale rencontre le droit,party,common,77,6,1.31,0.965,0.61,false,false,58.9,A
campaign_poster_shortage,Les affiches manquent dans six villes,campaign,common,289,2.39,1.3,0.963,0.612,false,false,58.8,A
party_ecologistes_program_dilemma,La taxe carbone divise les alliés,party,common,75,5,1.03,0.99,0.56,false,false,58.8,A
media_silence_day,Vingt-quatre heures sans caméra,media,common,492,2.02,1.18,0.97,0.602,false,false,58.6,A
runoff_final_debate,Le débat de lentre-deux-tours,between_rounds,common,913,6,1,0.988,0.314,false,false,58.6,A
runoff_favorite_pressure,Deux points davance à cinq jours,between_rounds,common,622,3,0.97,0.99,0.402,false,false,58.6,A
program_school_values,Ce que l’école doit transmettre,program,common,376,3,1.1,0.979,0.407,false,false,58.6,A
campaign_bus_breakdown,Le car tombe en panne,campaign,common,322,2.72,0.93,0.992,0.385,false,false,58.5,A
world_rival_leadership_split,La dissidence prend forme chez Reconquête,world,common,42,5,0.87,0.998,0.524,false,false,58.5,A
rare_parrot_quote,Un perroquet répète votre slogan,rare,legendary,26,4.73,0.35,0.945,0.5,false,true,58.5,A
party_nouvelle_energie_identity,Nouvelle Énergie doit prouver son utilité,party,common,100,5,0.87,0.997,0.37,false,false,58.5,A
debate_all_candidates,Neuf candidats face au climat,debate,common,365,6,1.06,0.977,0.359,false,false,58.4,A
campaign_final_rally,Le dernier grand meeting,campaign,common,152,6,0.85,0.996,0.368,false,false,58.4,A
runoff_last_hours,Les dernières heures autorisées,between_rounds,common,798,6,0.97,0.983,0.405,false,false,58.3,A
party_renaissance_identity,Renaissance choisit continuité ou rupture,party,common,74,5,1.13,0.969,0.405,false,false,58.3,A
program_europe,La règle européenne à changer,program,common,258,5,0.78,0.998,0.364,false,false,58.1,A
program_digital_rights,Vie privée et réseaux : la ligne numérique,program,common,328,2.83,1.19,0.956,0.457,false,false,58,A
program_integration_contract,"Le contrat d’intégration, jusqu’où aller",program,common,363,3,1.28,0.947,0.496,false,false,58,A
alliance_parliamentary_group,Douze députés offrent leur expérience,alliance,common,416,3.33,0.82,0.992,0.392,false,false,58,A
runoff_common_program,La coalition réclame une annexe,between_rounds,common,615,5,0.9,0.983,0.398,false,false,58,A
scandal_family_hire,La directrice a recruté son frère,scandal,common,373,5,1.32,0.946,0.421,false,false,58,A
party_renaissance_local_asset,Les parlementaires proposent cent permanences,party,common,83,4,1.22,0.953,0.627,false,false,58,A
alliance_fictional_celebrity,Une chanteuse veut soutenir la campagne,alliance,common,459,3.67,1.08,0.963,0.447,false,false,57.9,A
party_nouvelle_energie_alliance,Horizons propose une plateforme de gestion,party,common,107,5,0.75,0.992,0.374,false,false,57.8,A
party_lfi_program_dilemma,La désobéissance européenne doit être définie,party,common,67,5,0.93,0.974,0.433,false,false,57.7,A
party_nouvelle_energie_local_asset,Des entrepreneurs prêtent leurs réseaux,party,common,80,4,1.48,0.922,0.662,false,false,57.7,A
scandal_local_expenses,Des notes de frais se mélangent,scandal,common,313,4,0.86,0.977,0.428,false,false,57.6,A
scandal_consultant_contract,Le contrat du conseiller est publié,scandal,common,215,5,0.85,0.979,0.433,false,false,57.6,A
alliance_former_rival,Un ancien rival socialiste revient,alliance,common,48,5,0.68,0.995,0.375,false,false,57.6,A
world_public_service_outage,La plateforme publique tombe en panne,world,common,475,3,0.84,0.977,0.427,false,false,57.5,A
media_short_video,Une minute sur les loyers,media,common,286,2.68,0.72,0.986,0.416,false,false,57.4,A
campaign_factory_visit,L’atelier industriel de Saint-Nazaire,campaign,common,598,2.08,0.88,0.972,0.443,false,false,57.4,A
party_ps_electorate,Les agents publics attendent des garanties,party,common,90,5,1.02,0.956,0.622,false,false,57.3,A
party_rn_electorate,Les abstentionnistes demandent une preuve locale,party,common,93,5,0.74,0.981,0.581,false,false,57.3,A
party_nouvelle_energie_electorate,Les électeurs ignorent encore le mouvement,party,common,84,5,0.55,1,0.512,false,false,57.3,A
campaign_rally_security,Le meeting change de dispositif,campaign,common,414,5,1.02,0.955,0.483,false,false,57.2,A
campaign_budget_arbitration,Le budget impose trois renoncements,campaign,common,242,5,1.13,0.943,0.504,false,false,57.2,A
world_floods,La Garonne sort de son lit,world,common,401,6,0.69,0.985,0.411,false,false,57.2,A
debate_fact_card,La fiche rouge de la rédaction,debate,common,8,5,0.16,0.946,0.5,true,false,57.2,A
program_taxation,Qui financera les priorités,program,common,285,5,0.74,0.978,0.347,false,false,57.1,A
internal_congress_motion,Une motion réclame un congrès,internal,common,312,5,0.85,0.968,0.433,false,false,57.1,A
party_ps_program_dilemma,Le bilan gouvernemental divise la convention,party,common,80,5,1,0.954,0.625,false,false,57.1,A
debate_unknown_question,La question venue de Mayotte,debate,common,440,5,0.74,0.976,0.361,false,false,57,A
program_energy,Le mix électrique de 2040,program,common,294,5,0.69,0.982,0.381,false,false,57,A
party_horizons_alliance,Les Républicains proposent un pacte local,party,common,100,5,0.92,0.958,0.43,false,false,57,A
party_lr_local_asset,Les fédérations ouvrent leurs permanences,party,common,90,4,0.8,0.971,0.6,false,false,57,A
program_border_control,Contrôles aux frontières : quels moyens,program,common,295,2.71,1.03,0.946,0.454,false,false,56.9,A
world_industrial_closure,Une aciérie annonce sa fermeture,world,common,141,6,0.67,0.978,0.39,false,false,56.8,A
alliance_union_support,La CFDT veut des garanties écrites,alliance,common,64,3.53,0.97,0.951,0.469,false,false,56.8,A
party_renaissance_electorate,Les classes moyennes demandent un gain net,party,common,93,5,1.42,0.907,0.677,false,false,56.8,A
party_lr_alliance,Horizons propose un accord économique,party,common,111,5,0.82,0.964,0.468,false,false,56.8,A
party_lfi_electorate,Les abstentionnistes demandent une preuve,party,common,108,4,0.78,0.965,0.463,false,false,56.7,A
world_european_vote,Le Conseil européen se divise,world,common,80,2.94,0.86,0.959,0.475,false,false,56.7,A
internal_staff_fatigue,Le siège arrive à saturation,internal,common,237,3.67,0.83,0.96,0.456,false,false,56.7,A
program_health,Le prochain budget de la santé,program,common,477,5,0.9,0.953,0.486,false,false,56.6,A
campaign_small_business,La PME teste votre réforme,campaign,common,186,2.02,0.63,0.977,0.392,false,false,56.6,A
internal_rival_interview,Un rival corrige votre ligne,internal,common,337,5,0.74,0.964,0.463,false,false,56.5,A
party_ecologistes_identity,Les Écologistes arbitrent leur méthode,party,common,53,5,0.88,0.953,0.415,false,false,56.5,A
party_ps_identity,Le PS doit nommer son projet,party,common,80,5,0.57,0.978,0.438,false,false,56.4,A
party_horizons_electorate,Les retraités modérés parlent des soins,party,common,86,5,1.44,0.898,0.686,false,false,56.4,A
party_reconquete_local_asset,Les comités numériques cherchent du terrain,party,common,81,4,0.69,0.968,0.605,false,false,56.4,A
internal_spokesperson_mistake,La porte-parole annonce trop tôt,internal,common,234,3.76,0.78,0.957,0.479,false,false,56.3,A
campaign_rural_desert,Trois villages sans médecin,campaign,common,184,5,0.97,0.938,0.489,false,false,56.3,A
party_horizons_signature,La décentralisation doit devenir concrète,party,common,72,5,0.69,0.964,0.611,false,false,56.3,A
party_lfi_local_asset,Saint-Denis ouvre ses réseaux associatifs,party,common,82,4,0.85,0.947,0.634,false,false,56.2,A
world_energy_price_spike,Le gaz double en une semaine,world,common,295,6,0.54,0.974,0.431,false,false,56.1,A
party_reconquete_signature,Le référendum migratoire doit être cadré,party,common,95,6,1.62,0.875,0.705,false,false,56.1,A
runoff_vote_transfers,Les reports refusent la mécanique,between_rounds,common,773,5,0.87,0.937,0.464,false,false,55.8,A
party_nouvelle_energie_runoff,L’outsider doit former une majorité,party,common,132,6,0.2,0.999,0.515,false,false,55.8,A
party_rn_alliance,Reconquête propose un pacte de non-agression,party,common,93,5,0.86,0.936,0.484,false,false,55.7,A
party_reconquete_rare,Un réseau de cadres propose une fusion,party,rare,9,6,0.2,0.991,0.556,false,true,55.7,A
world_housing_protest,Les tentes encerclent la préfecture,world,common,102,3,0.44,0.973,0.441,false,false,55.6,A
party_horizons_local_asset,Les maires offrent une semaine de terrain,party,common,87,4,0.7,0.949,0.632,false,false,55.6,A
party_rn_local_asset,Les petites villes ouvrent la campagne,party,common,67,4,0.15,1,0.507,false,false,55.6,A
program_end_of_life,La question de la fin de vie,program,common,322,5,1.25,0.895,0.472,false,false,55.5,A
campaign_slogan_test,Le slogan divise le siège,campaign,common,628,2.01,1.18,0.903,0.494,false,false,55.5,A
campaign_weather_disaster,La pluie emporte la tournée,campaign,common,252,2.26,0.95,0.923,0.532,false,false,55.5,A
internal_primary_debt,La promesse faite après la primaire,internal,common,169,3,1.21,0.9,0.491,false,false,55.5,A
program_family_reunification,Le regroupement familial en question,program,common,352,5,1.44,0.876,0.477,false,false,55.4,A
rare_printer_slogan,Une apostrophe change le slogan,rare,rare,79,4.92,0.35,0.799,0.582,false,true,55.4,A
world_national_strike,La grève bloque les transports,world,common,164,6,1.11,0.906,0.5,false,false,55.4,A
media_long_podcast,Deux heures sans élément de langage,media,common,247,2.2,0.63,0.95,0.466,false,false,55.4,A
campaign_attacked_by_rival_pole,Une attaque frontale de La France insoumise,campaign,common,275,2.67,0.56,0.956,0.462,false,false,55.4,A
party_nouvelle_energie_rare,Un financement participatif dépasse les attentes,party,rare,9,6,0.13,0.991,0.556,false,true,55.4,A
party_lfi_identity,LFI choisit entre mouvement et candidat,party,common,113,5,0.58,0.951,0.407,false,false,55.2,A
campaign_regional_rally,Le meeting quitte la capitale,campaign,common,212,2.25,1.35,0.88,0.528,false,false,55.2,A
government_ministry_conflict,Deux alliés réclament Bercy,government,common,324,5,0.1,0.995,0.364,false,false,55.2,A
debate_duel_interruption,L’adversaire refuse de vous laisser répondre,debate,common,388,5,0.76,0.934,0.34,false,false,55.2,A
party_horizons_runoff,Le centre droit négocie son élargissement,party,common,154,6,0.13,0.992,0.552,false,false,55.2,A
eliminated_no_instruction,Aucun finaliste ne porte votre ligne,between_rounds,common,117,2.69,0.09,0.995,0.385,false,false,55.1,A
program_wages,Le salaire net au centre,program,common,241,2.63,0.73,0.934,0.461,false,false,55.1,A
campaign_calendar_conflict,Deux invitations au même horaire,campaign,common,363,2.24,0.77,0.931,0.523,false,false,55.1,A
campaign_hospital_night,Une nuit avec les urgences,campaign,common,231,5,0.75,0.934,0.429,false,false,55.1,A
party_ecologistes_signature,La rénovation thermique doit changer d’échelle,party,common,104,5,0.88,0.921,0.663,false,false,55.1,A
party_renaissance_alliance,Horizons propose une candidature commune,party,common,104,6,0.95,0.915,0.49,false,false,55.1,A
campaign_door_to_door,Cent quartiers en porte-à-porte,campaign,common,68,2.01,0.63,0.942,0.441,false,false,55,B
world_economic_slowdown,La croissance simulée se retourne,world,common,274,5,0.59,0.943,0.5,false,false,54.9,B
world_heatwave,Quarante-quatre degrés à Lyon,world,common,135,5,0.63,0.94,0.504,false,false,54.9,B
media_local_press,Six rédactions face au désert médical,media,common,455,2.88,0.94,0.908,0.481,false,false,54.8,B
campaign_volunteer_surge,Le siège déborde de bénévoles,campaign,common,661,2.46,1.18,0.886,0.537,false,false,54.8,B
eliminated_future_campaign,Le score ouvre une autre campagne,between_rounds,common,189,2.32,0.14,0.984,0.423,false,false,54.8,B
government_balance,Quinze ministres pour une coalition,government,common,412,5,0.11,0.982,0.396,false,false,54.7,B
program_school,La promesse faite à l’école,program,common,342,2.93,0.9,0.908,0.45,false,false,54.6,B
internal_major_donor,Un donateur demande un rendez-vous,internal,common,255,3,0.8,0.916,0.467,false,false,54.6,B
party_reconquete_identity,Reconquête choisit influence ou qualification,party,common,86,5,1.05,0.893,0.57,false,false,54.6,B
party_ecologistes_local_asset,Des élus ruraux proposent une tournée,party,common,75,4,0.92,0.904,0.68,false,false,54.5,B
scandal_campaign_data,Un fichier militant sort du siège,scandal,common,230,6,1.01,0.893,0.496,false,false,54.4,B
program_institutions,La présidence que vous proposez,program,common,373,5,0.94,0.901,0.456,false,false,54.4,B
campaign_overseas_trip,Le déplacement en Guadeloupe engage,campaign,common,180,5,0.96,0.896,0.539,false,false,54.3,B
world_international_crisis,Une crise ferme un détroit,world,common,363,5,0.88,0.902,0.512,false,false,54.3,B
debate_post_show_spin,Les soutiens envahissent le plateau,debate,common,363,5,0.93,0.899,0.424,false,false,54.3,B
party_lfi_alliance,Les Écologistes proposent un pacte urbain,party,common,64,5,0.89,0.9,0.563,false,false,54.2,B
internal_recruitment,Cinq cents bénévoles sans mission,internal,common,315,3.75,1.05,0.883,0.575,false,false,54.1,B
party_reconquete_alliance,Le RN offre des désistements limités,party,common,98,5,0.77,0.903,0.5,false,false,53.8,B
alliance_poach_rival_cadre,Un cadre écologiste tenté par un ralliement,alliance,common,282,3.28,0.42,0.933,0.514,false,false,53.7,B
scandal_audit_conclusion,L’audit clôt le dossier des factures,scandal,common,157,5,0.9,0.622,0.643,true,false,53.7,B
party_nouvelle_energie_program_dilemma,La baisse de dépense rencontre l’hôpital,party,common,82,5,1.42,0.839,0.732,false,false,53.7,B
alliance_left_roundtable,Le PS propose trois engagements communs,alliance,common,72,5,0.99,0.877,0.556,false,false,53.6,B
campaign_donation_drive,La collecte se bloque,campaign,common,438,2.13,0.94,0.883,0.516,false,false,53.6,B
party_lr_electorate,Les retraités interrogent le financement,party,common,92,5,1.18,0.859,0.717,false,false,53.6,B
party_rn_runoff,Le RN doit élargir sans démobiliser,party,common,172,6,0.25,0.943,0.64,false,false,53.5,B
scandal_plagiarized_report,Le rapport reprend huit paragraphes,scandal,common,312,3.33,0.84,0.884,0.538,false,false,53.3,B
campaign_farmers_roundtable,La table ronde agricole se tend,campaign,common,274,5,0.69,0.899,0.544,false,false,53.3,B
campaign_endorsements_missing,Les parrainages restent sous le seuil,campaign,common,252,5,1.35,0.835,0.603,false,false,53.2,B
debate_expose_contradiction_centrist,Une contradiction chez le camp centriste,debate,common,331,3.23,0.62,0.902,0.483,false,false,53.2,B
party_lr_identity,LR fixe ses deux frontières,party,common,58,5,0.42,0.922,0.466,false,false,53.2,B
party_rn_signature,La baisse de TVA doit être ciblée,party,common,81,5,1.46,0.826,0.741,false,false,53.2,B
alliance_right_convention,Le RN invite à une convention commune,alliance,common,118,5,0.81,0.882,0.492,false,false,53.1,B
program_immigration,La loi migratoire du programme,program,common,399,5,0.75,0.885,0.454,false,false,53,B
party_ecologistes_alliance,Le PS offre des circonscriptions urbaines,party,common,113,5,0.84,0.877,0.558,false,false,53,B
campaign_student_forum,Le forum étudiant refuse les slogans,campaign,common,145,2.57,0.7,0.888,0.572,false,false,52.9,B
alliance_mayors_appeal,Deux cents maires demandent un contrat,alliance,common,453,4,0.86,0.871,0.578,false,false,52.8,B
media_unflattering_photo,La photographie du quai vide,media,common,543,2.55,0.53,0.902,0.551,false,false,52.8,B
media_fictional_editorial_support,Un soutien éditorial encombrant,media,common,449,2.39,0.67,0.889,0.488,false,false,52.8,B
party_lfi_signature,La Sixième République doit prendre forme,party,common,76,5,1.24,0.831,0.737,false,false,52.6,B
party_ps_alliance,Les Écologistes proposent un contrat municipal,party,common,104,5,0.56,0.893,0.51,false,false,52.5,B
party_renaissance_program_dilemma,La réforme des retraites revient,party,common,63,6,1.38,0.818,0.746,false,false,52.5,B
party_lr_runoff,La droite qualifiée cherche ses reports,party,common,84,6,0.38,0.906,0.679,false,false,52.4,B
debate_challenge_frontrunner,Provoquer le favori en duel,debate,common,399,5,1,0.847,0.444,false,false,52.3,B
campaign_market_walkabout,Le marché sous pression,campaign,common,217,2,0.79,0.863,0.714,false,false,52.1,B
scandal_supplier_overbilling,L’imprimeur a doublé une ligne,scandal,common,376,4,0.79,0.862,0.593,false,false,52.1,B
world_budget_warning,La Cour des comptes alerte,world,common,132,5,0.63,0.876,0.553,false,false,52.1,B
debate_free_conclusion,La minute qui vous appartient,debate,common,328,6,0.95,0.844,0.369,false,false,52,B
party_reconquete_electorate,Les entrepreneurs attendent une ligne économique,party,common,85,5,0.58,0.874,0.706,false,false,51.8,B
party_ps_local_asset,Les maires socialistes ouvrent leurs réseaux,party,common,76,4,0.42,0.884,0.697,false,false,51.6,B
party_ps_signature,La garantie jeunesse doit être financée,party,common,79,5,1.34,0.796,0.759,false,false,51.4,B
government_first_address,La première adresse de lÉlysée,government,common,407,6,0.13,0.904,0.514,false,false,51.2,B
internal_program_committee,Le comité bloque le chapitre sécurité,internal,common,227,3.08,0.8,0.838,0.489,false,false,51.1,B
party_renaissance_signature,Le fonds industriel européen se précise,party,common,97,5,0.63,0.853,0.722,false,false,51,B
internal_volunteer_conflict,Deux équipes se disputent le terrain,internal,common,230,4,0.62,0.85,0.478,false,false,50.9,B
campaign_union_meeting,Le face-à-face avec les syndicats,campaign,common,101,5,0.79,0.83,0.594,false,false,50.6,B
world_rival_leadership_tension,Tensions internes chez Reconquête,world,common,265,2.62,0.96,0.812,0.615,false,false,50.6,B
party_rn_dissidence,Un courant identitaire prépare sa candidature,party,rare,12,6,2.15,0.414,0.917,true,true,50.6,B
party_lfi_runoff,LFI doit élargir sans se renier,party,common,139,6,0.44,0.859,0.504,false,false,50.5,B
media_foreign_interview,La France vue depuis Bruxelles,media,common,60,2.92,0.77,0.823,0.55,false,false,50.2,B
party_lr_program_dilemma,Les économies menacent les services locaux,party,common,60,5,0.89,0.811,0.75,false,false,50.2,B
scandal_donation_route,Un virement suit un trajet complexe,scandal,uncommon,206,5,0.91,0.805,0.607,false,false,50,B
party_ecologistes_electorate,Les locataires redoutent les interdictions,party,common,86,5,1.16,0.782,0.767,false,false,50,B
debate_security_round,Trois minutes sur la sécurité,debate,common,26,6,1.24,0.844,0.462,false,false,49.7,B
program_secularism,La laïcité à l’épreuve du quotidien,program,common,420,5,0.67,0.819,0.631,false,false,49.6,B
program_climate_adaptation,La France à cinquante degrés,program,common,408,5,1.22,0.768,0.564,false,false,49.6,B
program_pensions,La ligne de départ des retraites,program,common,285,5,0.73,0.812,0.481,false,false,49.6,B
eliminated_personal_future,Votre mandat à la tête du parti,between_rounds,common,77,2.19,0.14,0.867,0.597,false,false,49.6,B
program_labor_immigration,"L’immigration de travail, un choix économique assumé ou non",program,common,390,5,1.4,0.739,0.703,false,false,49.1,B
eliminated_endorse_candidate,Votre voix reste décisive,between_rounds,common,132,5,0.08,0.86,0.561,false,false,49,B
alliance_center_pact,Renaissance offre un pacte de stabilité,alliance,common,47,5,0.35,0.831,0.532,false,false,48.9,B
party_horizons_program_dilemma,La règle de dépense rencontre les communes,party,common,49,5,1.39,0.73,0.796,false,false,48.6,B
alliance_strategic_withdrawal,Nouvelle Énergie propose un retrait,alliance,common,68,6,1.7,0.691,0.515,false,false,48.2,B
party_reconquete_runoff,La qualification bouleverse la stratégie,party,common,49,6,0.09,0.835,0.735,false,false,47.9,B
campaign_defend_unfairly_attacked_rival,Une accusation jugée infondée vise un adversaire,campaign,common,325,2.96,0.96,0.744,0.545,false,false,47.5,B
government_prime_minister,Le choix de Matignon,government,common,383,6,0.1,0.822,0.634,false,false,47.4,B
party_horizons_identity,Horizons doit sortir de l’attente,party,common,75,5,0.4,0.795,0.6,false,false,47.4,B
internal_headquarters_move,Le siège coûte trop cher,internal,common,297,3.69,0.73,0.759,0.69,false,false,47.2,B
media_open_microphone,Le micro resté ouvert,media,common,342,5,0.78,0.753,0.541,false,false,47.1,B
media_front_page,La une vous prête un tournant,media,common,421,2.27,0.86,0.739,0.701,false,false,46.8,B
campaign_non_aggression_overture,Une proposition de pacte de non-agression,campaign,common,248,2.59,0.6,0.743,0.593,false,false,45.9,B
party_renaissance_runoff,Le bloc républicain demande des preuves,party,common,114,6,0.15,0.775,0.772,false,false,45.5,B
internal_youth_wing,Les jeunes veulent leur propre campagne,internal,common,208,4,0.64,0.716,0.678,false,false,44.9,B
party_rn_identity,Le RN arbitre normalisation et mobilisation,party,common,59,5,0.38,0.696,0.525,false,false,42.9,B
internal_local_sections,Les sections refusent le kit national,internal,common,488,3.73,0.79,0.654,0.73,false,false,42.7,B
campaign_peripheral_town,La périphérie demande un calendrier,campaign,common,147,2.76,0.94,0.633,0.748,false,false,42.4,B
campaign_citizens_convention,La convention citoyenne réclame une réponse,campaign,common,146,5,0.45,0.641,0.678,false,false,40.7,B
party_ps_runoff,La gauche attend un contrat de second tour,party,common,143,6,0.1,0.526,0.881,false,false,34.1,C
debate_frontrunner_retaliation,La riposte du favori,debate,common,65,3.02,0.95,0.444,0.908,false,false,33.9,C
party_ecologistes_runoff,Le second tour exige une coalition climatique,party,common,118,6,0.17,0.5,0.89,false,false,33.2,C
world_security_attack,Une attaque frappe un lieu public,world,uncommon,1,6,0.73,0,1,false,false,3.3,F
